planet_id,planet_name,mass,radius,density,t_eq,flux,distance_to_star,period,habitable_score,star_name,temperature,st_rad,st_mass,st_metalicity,st_lum,st_spectral_type,st_subclass
11COMB11COM,11 Com b,776.1323276277063,12.2,14.9,810.0,419.6014612575567,1.178,323.21,0.0,11 Com,4874.0,13.76,2.09,-0.26,1.97823,G,8.0
HD145675C14HER,HD 145675 c,1597.087745175,12.9,4.09,810.0,419.6014612575567,11.924,15732.45889,0.0,14 Her,5338.0,0.93,0.91,0.4052,-0.15273,K,0.0
14HERB14HER,14 Her b,2559.472161571,12.6,7.03,810.0,419.6014612575567,2.774,1765.0389,0.0,14 Her,5338.0,0.93,0.91,0.4052,-0.15273,K,0.0
24BOOB24BOO,24 Boo b,776.1323276277063,13.9,0.574,810.0,419.6014612575567,0.194,30.33,0.0,24 Boo,4816.0,12.19,1.05,-0.78,1.87691,G,3.0
KEPLER451C2MASSJ193832604603591,Kepler-451 c,776.1323276277063,13.5,1.14,810.0,419.6014612575567,3.1038542456009397,1460.0,0.0,2MASS J19383260+4603591,29564.0,0.203,0.48,-0.092,1.45,B,0.0
2MASSJ193832604603591B2MASSJ193832604603591,2MASS J19383260+4603591 b,603.877,13.4,1.38,810.0,419.6014612575567,0.92,406.0,0.0,2MASS J19383260+4603591,29564.0,0.203,0.48,-0.092,1.45,B,0.0
KEPLER451D2MASSJ193832604603591,Kepler-451 d,776.1323276277063,13.5,1.25,810.0,419.6014612575567,3.1038542456009397,43.0,0.0,2MASS J19383260+4603591,29564.0,0.203,0.48,-0.092,1.45,B,0.0
51ERIB51ERI,51 Eri b,635.66,13.4,1.45,700.0,419.6014612575567,13.2,11688.0,0.0,51 Eri,7295.0,1.48726,1.75,-0.027,0.85,F,0.0
55CNCC55CNC,55 Cnc c,54.4738,8.51,0.486,810.0,419.6014612575567,0.2373,44.3989,0.0,55 Cnc,5172.0,0.943,0.905,0.35,-0.19695,G,8.0
55CNCB55CNC,55 Cnc b,263.9785,13.9,0.54,700.0,419.6014612575567,0.1134,14.6516,0.0,55 Cnc,5172.0,0.943,0.905,0.35,-0.19695,G,8.0
55CNCF55CNC,55 Cnc f,44.812,7.59,0.563,810.0,419.6014612575567,0.7708,259.88,0.667,55 Cnc,5172.0,0.943,0.905,0.35,-0.19695,G,8.0
55CNCD55CNC,55 Cnc d,1232.493,13.0,3.08,810.0,419.6014612575567,5.957,5574.2,0.0,55 Cnc,5172.0,0.943,0.905,0.35,-0.19695,G,8.0
55CNCE55CNC,55 Cnc e,7.99,1.875,6.66,1958.0,2657.8322,0.01544,0.7365474,0.0,55 Cnc,5172.0,0.943,0.905,0.35,-0.19695,G,8.0
BD032562BBD032562,BD+03 2562 b,776.1323276277063,12.7,5.46,810.0,419.6014612575567,1.3,481.9,0.0,BD+03 2562,4095.0,32.35,1.14,-0.71,2.7,K,0.0
BD152375BBD152375,BD+15 2375 b,776.1323276277063,13.8,0.705,810.0,419.6014612575567,0.576,153.22,0.0,BD+15 2375,4649.0,8.95,1.08,-0.22,1.57,G,5.0
BD202457CBD202457,BD+20 2457 c,776.1323276277063,12.4,11.4,810.0,419.6014612575567,2.01,621.99,0.0,BD+20 2457,4137.0,49.0,2.8,-1.0,3.17,K,2.0
BD202457BBD202457,BD+20 2457 b,776.1323276277063,12.1,21.1,810.0,419.6014612575567,1.45,379.63,0.0,BD+20 2457,4137.0,49.0,2.8,-1.0,3.17,K,2.0
BD20274BBD20274,BD+20 274 b,776.1323276277063,13.0,3.34,810.0,419.6014612575567,1.3,578.2,0.0,BD+20 274,4296.0,17.3,0.8,-0.46,1.96,K,5.0
BD49828BBD49828,BD+49 828 b,776.1323276277063,13.5,1.14,810.0,419.6014612575567,4.2,2590.0,0.333,BD+49 828,4943.0,7.6,1.52,-0.19,1.47,K,0.0
BD103166BBD103166,BD-10 3166 b,776.1323276277063,14.1,0.368,810.0,419.6014612575567,0.04,3.48777,0.0,BD-10 3166,5393.0,0.91,1.47,0.38,-0.1912,K,0.0
